cell,batch,label
pDC_P8_S42,Batch1,pDC
pDC_P8_S43,Batch1,pDC
pDC_P8_S44,Batch1,pDC
pDC_P8_S45,Batch1,pDC
pDC_P8_S46,Batch1,pDC
pDC_P8_S47,Batch1,pDC
pDC_P8_S48,Batch1,pDC
pDC_P9_S49,Batch1,pDC
pDC_P9_S50,Batch1,pDC
pDC_P9_S51,Batch1,pDC
pDC_P9_S52,Batch1,pDC
pDC_P9_S53,Batch1,pDC
pDC_P9_S54,Batch1,pDC
pDC_P9_S55,Batch1,pDC
pDC_P9_S56,Batch1,pDC
pDC_P9_S57,Batch1,pDC
pDC_P9_S58,Batch1,pDC
pDC_P9_S59,Batch1,pDC
pDC_P9_S60,Batch1,pDC
pDC_P9_S61,Batch1,pDC
pDC_P9_S62,Batch1,pDC
pDC_P9_S63,Batch1,pDC
pDC_P9_S64,Batch1,pDC
pDC_P9_S65,Batch1,pDC
pDC_P9_S66,Batch1,pDC
pDC_P9_S67,Batch1,pDC
pDC_P9_S68,Batch1,pDC
pDC_P9_S69,Batch1,pDC
pDC_P9_S70,Batch1,pDC
pDC_P9_S71,Batch1,pDC
pDC_P9_S72,Batch1,pDC
DoubleNeg_P10_S73,Batch1,DoubleNeg
DoubleNeg_P10_S74,Batch1,DoubleNeg
DoubleNeg_P10_S75,Batch1,DoubleNeg
DoubleNeg_P10_S76,Batch1,DoubleNeg
DoubleNeg_P10_S77,Batch1,DoubleNeg
DoubleNeg_P10_S78,Batch1,DoubleNeg
DoubleNeg_P10_S79,Batch1,DoubleNeg
DoubleNeg_P10_S80,Batch1,DoubleNeg
DoubleNeg_P10_S81,Batch1,DoubleNeg
DoubleNeg_P10_S82,Batch1,DoubleNeg
DoubleNeg_P10_S83,Batch1,DoubleNeg
DoubleNeg_P10_S84,Batch1,DoubleNeg
DoubleNeg_P10_S85,Batch1,DoubleNeg
DoubleNeg_P10_S86,Batch1,DoubleNeg
DoubleNeg_P10_S87,Batch1,DoubleNeg
DoubleNeg_P10_S88,Batch1,DoubleNeg
DoubleNeg_P10_S89,Batch1,DoubleNeg
DoubleNeg_P10_S90,Batch1,DoubleNeg
DoubleNeg_P10_S91,Batch1,DoubleNeg
DoubleNeg_P10_S92,Batch1,DoubleNeg
DoubleNeg_P10_S93,Batch1,DoubleNeg
DoubleNeg_P10_S94,Batch1,DoubleNeg
DoubleNeg_P10_S95,Batch1,DoubleNeg
DoubleNeg_P10_S96,Batch1,DoubleNeg
DoubleNeg_P7_S10,Batch1,DoubleNeg
DoubleNeg_P7_S11,Batch1,DoubleNeg
DoubleNeg_P7_S12,Batch1,DoubleNeg
DoubleNeg_P7_S13,Batch1,DoubleNeg
DoubleNeg_P7_S14,Batch1,DoubleNeg
DoubleNeg_P7_S15,Batch1,DoubleNeg
DoubleNeg_P7_S16,Batch1,DoubleNeg
DoubleNeg_P7_S17,Batch1,DoubleNeg
DoubleNeg_P7_S18,Batch1,DoubleNeg
DoubleNeg_P7_S19,Batch1,DoubleNeg
DoubleNeg_P7_S1,Batch1,DoubleNeg
DoubleNeg_P7_S20,Batch1,DoubleNeg
DoubleNeg_P7_S21,Batch1,DoubleNeg
DoubleNeg_P7_S22,Batch1,DoubleNeg
DoubleNeg_P7_S23,Batch1,DoubleNeg
DoubleNeg_P7_S24,Batch1,DoubleNeg
DoubleNeg_P7_S2,Batch1,DoubleNeg
DoubleNeg_P7_S3,Batch1,DoubleNeg
DoubleNeg_P7_S4,Batch1,DoubleNeg
DoubleNeg_P7_S5,Batch1,DoubleNeg
DoubleNeg_P7_S6,Batch1,DoubleNeg
DoubleNeg_P7_S7,Batch1,DoubleNeg
DoubleNeg_P7_S8,Batch1,DoubleNeg
DoubleNeg_P7_S9,Batch1,DoubleNeg
DoubleNeg_P8_S25,Batch1,DoubleNeg
DoubleNeg_P8_S26,Batch1,DoubleNeg
DoubleNeg_P8_S27,Batch1,DoubleNeg
DoubleNeg_P8_S28,Batch1,DoubleNeg
DoubleNeg_P8_S29,Batch1,DoubleNeg
DoubleNeg_P8_S30,Batch1,DoubleNeg
DoubleNeg_P8_S31,Batch1,DoubleNeg
DoubleNeg_P8_S32,Batch1,DoubleNeg
DoubleNeg_P8_S33,Batch1,DoubleNeg
DoubleNeg_P8_S34,Batch1,DoubleNeg
DoubleNeg_P8_S35,Batch1,DoubleNeg
DoubleNeg_P8_S36,Batch1,DoubleNeg
DoubleNeg_P8_S37,Batch1,DoubleNeg
DoubleNeg_P8_S38,Batch1,DoubleNeg
DoubleNeg_P8_S39,Batch1,DoubleNeg
DoubleNeg_P8_S40,Batch1,DoubleNeg
DoubleNeg_P8_S41,Batch1,DoubleNeg
DoubleNeg_P8_S42,Batch1,DoubleNeg
DoubleNeg_P8_S43,Batch1,DoubleNeg
DoubleNeg_P8_S44,Batch1,DoubleNeg
DoubleNeg_P8_S45,Batch1,DoubleNeg
DoubleNeg_P8_S46,Batch1,DoubleNeg
DoubleNeg_P8_S47,Batch1,DoubleNeg
DoubleNeg_P8_S48,Batch1,DoubleNeg
DoubleNeg_P9_S49,Batch1,DoubleNeg
DoubleNeg_P9_S50,Batch1,DoubleNeg
DoubleNeg_P9_S51,Batch1,DoubleNeg
DoubleNeg_P9_S52,Batch1,DoubleNeg
DoubleNeg_P9_S53,Batch1,DoubleNeg
DoubleNeg_P9_S54,Batch1,DoubleNeg
DoubleNeg_P9_S55,Batch1,DoubleNeg
DoubleNeg_P9_S56,Batch1,DoubleNeg
DoubleNeg_P9_S57,Batch1,DoubleNeg
DoubleNeg_P9_S58,Batch1,DoubleNeg
DoubleNeg_P9_S59,Batch1,DoubleNeg
DoubleNeg_P9_S60,Batch1,DoubleNeg
DoubleNeg_P9_S61,Batch1,DoubleNeg
DoubleNeg_P9_S62,Batch1,DoubleNeg
DoubleNeg_P9_S63,Batch1,DoubleNeg
DoubleNeg_P9_S64,Batch1,DoubleNeg
DoubleNeg_P9_S65,Batch1,DoubleNeg
DoubleNeg_P9_S66,Batch1,DoubleNeg
DoubleNeg_P9_S67,Batch1,DoubleNeg
DoubleNeg_P9_S68,Batch1,DoubleNeg
DoubleNeg_P9_S69,Batch1,DoubleNeg
DoubleNeg_P9_S70,Batch1,DoubleNeg
DoubleNeg_P9_S71,Batch1,DoubleNeg
DoubleNeg_P9_S72,Batch1,DoubleNeg
pDC_P13_S49,Batch2,pDC
pDC_P13_S50,Batch2,pDC
pDC_P13_S51,Batch2,pDC
pDC_P13_S52,Batch2,pDC
pDC_P13_S53,Batch2,pDC
pDC_P13_S54,Batch2,pDC
pDC_P13_S55,Batch2,pDC
pDC_P13_S56,Batch2,pDC
pDC_P13_S57,Batch2,pDC
pDC_P13_S58,Batch2,pDC
pDC_P13_S59,Batch2,pDC
pDC_P13_S60,Batch2,pDC
pDC_P13_S61,Batch2,pDC
pDC_P13_S62,Batch2,pDC
pDC_P13_S63,Batch2,pDC
pDC_P13_S64,Batch2,pDC
pDC_P13_S65,Batch2,pDC
pDC_P13_S66,Batch2,pDC
pDC_P13_S67,Batch2,pDC
pDC_P13_S68,Batch2,pDC
pDC_P13_S69,Batch2,pDC
pDC_P13_S70,Batch2,pDC
pDC_P13_S71,Batch2,pDC
pDC_P13_S72,Batch2,pDC
pDC_P14_S73,Batch2,pDC
pDC_P14_S74,Batch2,pDC
pDC_P14_S75,Batch2,pDC
pDC_P14_S76,Batch2,pDC
pDC_P14_S77,Batch2,pDC
pDC_P14_S78,Batch2,pDC
pDC_P14_S79,Batch2,pDC
pDC_P14_S80,Batch2,pDC
pDC_P14_S81,Batch2,pDC
pDC_P14_S82,Batch2,pDC
pDC_P14_S83,Batch2,pDC
pDC_P14_S84,Batch2,pDC
pDC_P14_S85,Batch2,pDC
pDC_P14_S86,Batch2,pDC
pDC_P14_S87,Batch2,pDC
pDC_P14_S88,Batch2,pDC
pDC_P14_S89,Batch2,pDC
pDC_P14_S90,Batch2,pDC
pDC_P14_S91,Batch2,pDC
pDC_P14_S92,Batch2,pDC
pDC_P14_S93,Batch2,pDC
pDC_P14_S94,Batch2,pDC
pDC_P14_S95,Batch2,pDC
pDC_P14_S96,Batch2,pDC
pDC_P3_S10,Batch2,pDC
pDC_P3_S11,Batch2,pDC
pDC_P3_S12,Batch2,pDC
pDC_P3_S13,Batch2,pDC
pDC_P3_S14,Batch2,pDC
pDC_P3_S15,Batch2,pDC
pDC_P3_S16,Batch2,pDC
pDC_P3_S17,Batch2,pDC
pDC_P3_S18,Batch2,pDC
pDC_P3_S19,Batch2,pDC
pDC_P3_S1,Batch2,pDC
pDC_P3_S20,Batch2,pDC
pDC_P3_S21,Batch2,pDC
pDC_P3_S22,Batch2,pDC
pDC_P3_S23,Batch2,pDC
pDC_P3_S24,Batch2,pDC
pDC_P3_S2,Batch2,pDC
pDC_P3_S3,Batch2,pDC
pDC_P3_S4,Batch2,pDC
pDC_P3_S5,Batch2,pDC
pDC_P3_S6,Batch2,pDC
pDC_P3_S7,Batch2,pDC
pDC_P3_S8,Batch2,pDC
pDC_P3_S9,Batch2,pDC
pDC_P4_S25,Batch2,pDC
pDC_P4_S26,Batch2,pDC
pDC_P4_S27,Batch2,pDC
pDC_P4_S28,Batch2,pDC
pDC_P4_S29,Batch2,pDC
pDC_P4_S30,Batch2,pDC
pDC_P4_S31,Batch2,pDC
pDC_P4_S32,Batch2,pDC
pDC_P4_S33,Batch2,pDC
pDC_P4_S34,Batch2,pDC
pDC_P4_S35,Batch2,pDC
pDC_P4_S36,Batch2,pDC
pDC_P4_S37,Batch2,pDC
pDC_P4_S38,Batch2,pDC
pDC_P4_S39,Batch2,pDC
pDC_P4_S40,Batch2,pDC
pDC_P4_S41,Batch2,pDC
pDC_P4_S42,Batch2,pDC
pDC_P4_S43,Batch2,pDC
pDC_P4_S44,Batch2,pDC
pDC_P4_S45,Batch2,pDC
pDC_P4_S46,Batch2,pDC
pDC_P4_S47,Batch2,pDC
pDC_P4_S48,Batch2,pDC
DoubleNeg_P13_S49,Batch2,DoubleNeg
DoubleNeg_P13_S50,Batch2,DoubleNeg
DoubleNeg_P13_S51,Batch2,DoubleNeg
DoubleNeg_P13_S52,Batch2,DoubleNeg
DoubleNeg_P13_S53,Batch2,DoubleNeg
DoubleNeg_P13_S54,Batch2,DoubleNeg
DoubleNeg_P13_S55,Batch2,DoubleNeg
DoubleNeg_P13_S56,Batch2,DoubleNeg
DoubleNeg_P13_S57,Batch2,DoubleNeg
DoubleNeg_P13_S58,Batch2,DoubleNeg
DoubleNeg_P13_S59,Batch2,DoubleNeg
DoubleNeg_P13_S60,Batch2,DoubleNeg
DoubleNeg_P13_S61,Batch2,DoubleNeg
DoubleNeg_P13_S62,Batch2,DoubleNeg
DoubleNeg_P13_S63,Batch2,DoubleNeg
DoubleNeg_P13_S64,Batch2,DoubleNeg
DoubleNeg_P13_S65,Batch2,DoubleNeg
DoubleNeg_P13_S66,Batch2,DoubleNeg
DoubleNeg_P13_S67,Batch2,DoubleNeg
DoubleNeg_P13_S68,Batch2,DoubleNeg
DoubleNeg_P13_S69,Batch2,DoubleNeg
DoubleNeg_P13_S70,Batch2,DoubleNeg
DoubleNeg_P13_S71,Batch2,DoubleNeg
DoubleNeg_P13_S72,Batch2,DoubleNeg
DoubleNeg_P14_S73,Batch2,DoubleNeg
DoubleNeg_P14_S74,Batch2,DoubleNeg
DoubleNeg_P14_S75,Batch2,DoubleNeg
DoubleNeg_P14_S76,Batch2,DoubleNeg
DoubleNeg_P14_S77,Batch2,DoubleNeg
DoubleNeg_P14_S78,Batch2,DoubleNeg
DoubleNeg_P14_S79,Batch2,DoubleNeg
DoubleNeg_P14_S80,Batch2,DoubleNeg
DoubleNeg_P14_S81,Batch2,DoubleNeg
DoubleNeg_P14_S82,Batch2,DoubleNeg
DoubleNeg_P14_S83,Batch2,DoubleNeg
DoubleNeg_P14_S84,Batch2,DoubleNeg
DoubleNeg_P14_S85,Batch2,DoubleNeg
DoubleNeg_P14_S86,Batch2,DoubleNeg
DoubleNeg_P14_S87,Batch2,DoubleNeg
DoubleNeg_P14_S88,Batch2,DoubleNeg
DoubleNeg_P14_S89,Batch2,DoubleNeg
DoubleNeg_P14_S90,Batch2,DoubleNeg
DoubleNeg_P14_S91,Batch2,DoubleNeg
DoubleNeg_P14_S92,Batch2,DoubleNeg
DoubleNeg_P14_S93,Batch2,DoubleNeg
DoubleNeg_P14_S94,Batch2,DoubleNeg
DoubleNeg_P14_S95,Batch2,DoubleNeg
DoubleNeg_P14_S96,Batch2,DoubleNeg
DoubleNeg_P3_S10,Batch2,DoubleNeg
DoubleNeg_P3_S11,Batch2,DoubleNeg
DoubleNeg_P3_S12,Batch2,DoubleNeg
DoubleNeg_P3_S13,Batch2,DoubleNeg
DoubleNeg_P3_S14,Batch2,DoubleNeg
DoubleNeg_P3_S15,Batch2,DoubleNeg
DoubleNeg_P3_S16,Batch2,DoubleNeg
DoubleNeg_P3_S17,Batch2,DoubleNeg
DoubleNeg_P3_S18,Batch2,DoubleNeg
DoubleNeg_P3_S19,Batch2,DoubleNeg
DoubleNeg_P3_S1,Batch2,DoubleNeg
DoubleNeg_P3_S20,Batch2,DoubleNeg
DoubleNeg_P3_S21,Batch2,DoubleNeg
DoubleNeg_P3_S22,Batch2,DoubleNeg
DoubleNeg_P3_S23,Batch2,DoubleNeg
DoubleNeg_P3_S24,Batch2,DoubleNeg
DoubleNeg_P3_S2,Batch2,DoubleNeg
DoubleNeg_P3_S3,Batch2,DoubleNeg
DoubleNeg_P3_S4,Batch2,DoubleNeg
DoubleNeg_P3_S5,Batch2,DoubleNeg
DoubleNeg_P3_S6,Batch2,DoubleNeg
DoubleNeg_P3_S7,Batch2,DoubleNeg
DoubleNeg_P3_S8,Batch2,DoubleNeg
DoubleNeg_P3_S9,Batch2,DoubleNeg
DoubleNeg_P4_S25,Batch2,DoubleNeg
DoubleNeg_P4_S26,Batch2,DoubleNeg
DoubleNeg_P4_S27,Batch2,DoubleNeg
DoubleNeg_P4_S28,Batch2,DoubleNeg
DoubleNeg_P4_S29,Batch2,DoubleNeg
DoubleNeg_P4_S30,Batch2,DoubleNeg
DoubleNeg_P4_S31,Batch2,DoubleNeg
DoubleNeg_P4_S32,Batch2,DoubleNeg
DoubleNeg_P4_S33,Batch2,DoubleNeg
DoubleNeg_P4_S34,Batch2,DoubleNeg
DoubleNeg_P4_S35,Batch2,DoubleNeg
DoubleNeg_P4_S36,Batch2,DoubleNeg
DoubleNeg_P4_S37,Batch2,DoubleNeg
DoubleNeg_P4_S38,Batch2,DoubleNeg
DoubleNeg_P4_S39,Batch2,DoubleNeg
DoubleNeg_P4_S40,Batch2,DoubleNeg
DoubleNeg_P4_S41,Batch2,DoubleNeg
DoubleNeg_P4_S42,Batch2,DoubleNeg
DoubleNeg_P4_S43,Batch2,DoubleNeg
DoubleNeg_P4_S44,Batch2,DoubleNeg
DoubleNeg_P4_S45,Batch2,DoubleNeg
DoubleNeg_P4_S46,Batch2,DoubleNeg
DoubleNeg_P4_S47,Batch2,DoubleNeg
DoubleNeg_P4_S48,Batch2,DoubleNeg
CD1C_P13_S49,Batch2,CD1C
CD1C_P13_S50,Batch2,CD1C
CD1C_P13_S51,Batch2,CD1C
CD1C_P13_S52,Batch2,CD1C
CD1C_P13_S53,Batch2,CD1C
CD1C_P13_S54,Batch2,CD1C
CD1C_P13_S55,Batch2,CD1C
CD1C_P13_S56,Batch2,CD1C
CD1C_P13_S57,Batch2,CD1C
CD1C_P13_S58,Batch2,CD1C
CD1C_P13_S59,Batch2,CD1C
CD1C_P13_S60,Batch2,CD1C
CD1C_P13_S61,Batch2,CD1C
CD1C_P13_S62,Batch2,CD1C
CD1C_P13_S63,Batch2,CD1C
CD1C_P13_S64,Batch2,CD1C
CD1C_P13_S65,Batch2,CD1C
CD1C_P13_S66,Batch2,CD1C
CD1C_P13_S67,Batch2,CD1C
CD1C_P13_S68,Batch2,CD1C
CD1C_P13_S69,Batch2,CD1C
CD1C_P13_S70,Batch2,CD1C
CD1C_P13_S71,Batch2,CD1C
CD1C_P13_S72,Batch2,CD1C
CD1C_P14_S73,Batch2,CD1C
CD1C_P14_S74,Batch2,CD1C
CD1C_P14_S75,Batch2,CD1C
CD1C_P14_S76,Batch2,CD1C
CD1C_P14_S77,Batch2,CD1C
CD1C_P14_S78,Batch2,CD1C
CD1C_P14_S79,Batch2,CD1C
CD1C_P14_S80,Batch2,CD1C
CD1C_P14_S81,Batch2,CD1C
CD1C_P14_S82,Batch2,CD1C
CD1C_P14_S83,Batch2,CD1C
CD1C_P14_S84,Batch2,CD1C
CD1C_P14_S85,Batch2,CD1C
CD1C_P14_S86,Batch2,CD1C
CD1C_P14_S87,Batch2,CD1C
CD1C_P14_S88,Batch2,CD1C
CD1C_P14_S89,Batch2,CD1C
CD1C_P14_S90,Batch2,CD1C
CD1C_P14_S91,Batch2,CD1C
CD1C_P14_S92,Batch2,CD1C
CD1C_P14_S93,Batch2,CD1C
CD1C_P14_S94,Batch2,CD1C
CD1C_P14_S95,Batch2,CD1C
CD1C_P14_S96,Batch2,CD1C
CD1C_P3_S10,Batch2,CD1C
CD1C_P3_S11,Batch2,CD1C
CD1C_P3_S12,Batch2,CD1C
CD1C_P3_S13,Batch2,CD1C
CD1C_P3_S14,Batch2,CD1C
CD1C_P3_S15,Batch2,CD1C
CD1C_P3_S16,Batch2,CD1C
CD1C_P3_S17,Batch2,CD1C
CD1C_P3_S18,Batch2,CD1C
CD1C_P3_S19,Batch2,CD1C
CD1C_P3_S1,Batch2,CD1C
CD1C_P3_S20,Batch2,CD1C
CD1C_P3_S21,Batch2,CD1C
CD1C_P3_S22,Batch2,CD1C
CD1C_P3_S23,Batch2,CD1C
CD1C_P3_S24,Batch2,CD1C
CD1C_P3_S2,Batch2,CD1C
CD1C_P3_S3,Batch2,CD1C
CD1C_P3_S4,Batch2,CD1C
CD1C_P3_S5,Batch2,CD1C
CD1C_P3_S6,Batch2,CD1C
CD1C_P3_S7,Batch2,CD1C
CD1C_P3_S8,Batch2,CD1C
CD1C_P3_S9,Batch2,CD1C
CD1C_P4_S25,Batch2,CD1C
CD1C_P4_S26,Batch2,CD1C
CD1C_P4_S27,Batch2,CD1C
CD1C_P4_S28,Batch2,CD1C
CD1C_P4_S29,Batch2,CD1C
CD1C_P4_S30,Batch2,CD1C
CD1C_P4_S31,Batch2,CD1C
CD1C_P4_S32,Batch2,CD1C
CD1C_P4_S33,Batch2,CD1C
CD1C_P4_S34,Batch2,CD1C
CD1C_P4_S35,Batch2,CD1C
CD1C_P4_S36,Batch2,CD1C
CD1C_P4_S37,Batch2,CD1C
CD1C_P4_S38,Batch2,CD1C
CD1C_P4_S39,Batch2,CD1C
CD1C_P4_S40,Batch2,CD1C
CD1C_P4_S41,Batch2,CD1C
CD1C_P4_S42,Batch2,CD1C
CD1C_P4_S43,Batch2,CD1C
CD1C_P4_S44,Batch2,CD1C
CD1C_P4_S45,Batch2,CD1C
CD1C_P4_S46,Batch2,CD1C
CD1C_P4_S47,Batch2,CD1C
CD1C_P4_S48,Batch2,CD1C
